S.No,User ID,Name,Email,Phone,Onboard Date,Install Date,App Version,Package Version,GAID,IDFA,Net Revenue,Payment Count,First Payment Date,Last Payment Date,Onboard Campaign Display ID,Onboard Campaign Name,Campaign ID,Ad Set ID,Ad Set Name,Ad ID,Ad Name
1,user_1227381032,Kabir Iyer,kabir.iyer@example.com,+919886755821,2026-07-27 00:00:00,2026-07-25 00:00:00,4.1.0,1.23.1,,8420CA1D-CF5C-B233-DE86-E0C8E8799892,3256.44,2,2026-07-31 00:00:00,2026-08-08 00:00:00,GA_20000000000,Summer_Sale_Android,GA_20000000000,103524064077,Lookalike_1pct_3,101898212744,Carousel_Bestsellers_3
2,user_6101401714,Diya Reddy,diya.reddy@example.com,+919835913474,2026-07-09 00:00:00,2026-07-09 00:00:00,4.0.7,1.23.0,,,596.72,4,2026-07-13 00:00:00,2026-07-30 00:00:00,GA_20000000000,Summer_Sale_Android,GA_20000000000,103524064077,Lookalike_1pct_3,101898212611,Video_15s_Testimonial_2
3,user_3951047738,Arjun Bose,arjun.bose@example.com,+919824193795,2026-07-08 00:00:00,2026-07-06 00:00:00,4.3.7,1.21.5,13766173-67cc-5140-4f8d-182d50ebd1a6,,1666.37,5,2026-07-11 00:00:00,2026-07-13 00:00:00,GA_20000000000,Summer_Sale_Android,GA_20000000000,103524063912,Interest_Fitness_2,101898212480,Static_Product_Blue_1
4,user_7991226963,Kabir Bose,kabir.bose@example.com,+919882446380,2026-07-10 00:00:00,2026-07-08 00:00:00,4.2.5,1.26.4,c5960b2e-7545-3e66-1d02-d9419069e679,,4308.12,1,2026-07-11 00:00:00,2026-07-30 00:00:00,GA_20000000000,Summer_Sale_Android,GA_20000000000,103524063818,Core_Audience_1,101898212611,Video_15s_Testimonial_2
5,user_1437505371,Vikram Nair,vikram.nair@example.com,+919893445926,2026-07-10 00:00:00,2026-07-07 00:00:00,4.0.2,1.22.1,4f49769b-5453-6dc8-1c0d-b0f1bb3fe4d8,,2900.48,3,2026-07-12 00:00:00,2026-07-26 00:00:00,GA_20000000000,Summer_Sale_Android,GA_20000000000,103524063912,Interest_Fitness_2,101898212480,Static_Product_Blue_1
6,user_8264167678,Aarav Bose,aarav.bose@example.com,+919874792831,2026-07-19 00:00:00,2026-07-19 00:00:00,4.2.6,1.29.0,2836c42c-0848-a1e5-3a01-579719b5ebe4,,2281.31,1,2026-07-19 00:00:00,2026-07-29 00:00:00,GA_20000000000,Summer_Sale_Android,GA_20000000000,103524063912,Interest_Fitness_2,101898212744,Carousel_Bestsellers_3
7,user_2895082943,Sara Reddy,sara.reddy@example.com,+919884786538,2026-07-27 00:00:00,2026-07-26 00:00:00,4.3.3,1.28.2,,,2742.48,5,2026-07-29 00:00:00,2026-08-08 00:00:00,GA_20000000000,Summer_Sale_Android,GA_20000000000,103524063818,Core_Audience_1,101898212611,Video_15s_Testimonial_2
8,user_5019700513,Diya Iyer,diya.iyer@example.com,+919886151010,2026-07-11 00:00:00,2026-07-09 00:00:00,4.0.3,1.21.1,,,3136.66,3,2026-07-15 00:00:00,2026-07-19 00:00:00,GA_20000000000,Summer_Sale_Android,GA_20000000000,103524064077,Lookalike_1pct_3,101898212744,Carousel_Bestsellers_3
9,user_9863038996,Sara Kapoor,sara.kapoor@example.com,+919845482875,2026-07-25 00:00:00,2026-07-23 00:00:00,4.1.5,1.29.1,df5cddd0-edd6-e10b-177d-678b54457178,,1476.61,3,2026-07-25 00:00:00,2026-08-08 00:00:00,GA_20000000000,Summer_Sale_Android,GA_20000000000,103524064077,Lookalike_1pct_3,101898212480,Static_Product_Blue_1
10,user_2732547998,Aarav Desai,aarav.desai@example.com,+919898365325,2026-07-24 00:00:00,2026-07-22 00:00:00,4.1.4,1.26.4,5cf41793-92d6-6d56-c221-9f283da91979,,1089.76,2,2026-07-28 00:00:00,2026-07-30 00:00:00,GA_20000000000,Summer_Sale_Android,GA_20000000000,103524063912,Interest_Fitness_2,101898212480,Static_Product_Blue_1
